timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 16:53:28.720262,32,"stress_label",5,0.75,0.8,1,0.529069767441861,16,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;hrv_rmssd_precond;eeg_fm_lbeta_power_precond"
2025-12-19 16:53:34.979552,33,"stress_label",5,0.5,0.5,0.5,0.598837209302326,4,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:53:41.330019,34,"stress_label",5,1,1,1,0.587209302325581,2,0.015625,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:53:47.784418,35,"stress_label",5,0.75,0.666666666666667,1,0.593023255813954,2,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:53:54.019496,36,"stress_label",5,1,1,1,0.575581395348837,16,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:54:00.223802,37,"stress_label",5,0.25,0.4,1,0.395348837209302,256,0.1,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 16:54:06.508446,38,"stress_label",5,0.5,0.5,0.5,0.587209302325581,32,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;hrv_rmssd_precond;eeg_fm_specent_precond"
2025-12-19 16:54:12.875653,39,"stress_label",5,0.75,0.666666666666667,0.5,0.587209302325581,16,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:54:19.204985,40,"stress_label",5,0.75,0.8,0.5,0.587209302325581,8,0.0078125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:54:25.367212,41,"stress_label",5,0.5,0.5,0.5,0.563953488372093,8,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;hrv_rmssd_precond;eeg_fm_specent_precond"
2025-12-19 16:54:31.438159,42,"stress_label",5,0.25,0.4,1,0.383720930232558,128,0.1,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 16:54:37.673123,43,"stress_label",5,0.5,0.5,0.5,0.598837209302326,4,0.015625,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:54:43.927214,44,"stress_label",5,0.25,0,0.5,0.581395348837209,16,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:54:49.996428,45,"stress_label",5,0.25,0.4,0,0.616279069767442,8,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_lbeta_power_precond;eeg_fm_specent_precond"
2025-12-19 16:54:56.208667,47,"stress_label",5,0.5,0.5,0.5,0.587209302325581,16,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 16:55:02.319157,48,"stress_label",5,0.75,0.8,1,0.593023255813954,4,0.0078125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eda_pkrate_precond;eeg_fm_specent_precond"
