stress_level,workload_level,mean_val,se_val
Low,Low,0.728724050761327,0.11874158597101303
Low,High,1.0756872806137108,0.1758443331694062
High,Low,1.2069221396654837,0.16152181080124736
High,High,1.2158981405671991,0.20188936867746557
