condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
High Stress - High Cog,HS–HW,stress,pupil_asymmetry_full_change_precond_Z,Pupillometry,-0.16293536120387908,0.31511356963366843,0.47267035445050265,40
High Stress - High Cog,HS–HW,workload,pupil_asymmetry_full_change_precond_Z,Pupillometry,0.16521171041170485,0.30830765495529006,0.30830765495529006,40
High Stress - Low Cog,HS–LW,stress,pupil_asymmetry_full_change_precond_Z,Pupillometry,-0.08664445425496375,0.5999462767504806,0.5999462767504806,39
High Stress - Low Cog,HS–LW,workload,pupil_asymmetry_full_change_precond_Z,Pupillometry,-0.3205387168099087,0.04664861708528317,0.13994585125584952,39
Low Stress - High Cog,LS–HW,stress,pupil_asymmetry_full_change_precond_Z,Pupillometry,0.1265149775053451,0.43662107665272143,0.5734117024667549,40
Low Stress - High Cog,LS–HW,workload,pupil_asymmetry_full_change_precond_Z,Pupillometry,0.2994504628093657,0.06049511452332013,0.1814853435699604,40
Low Stress - Low Cog,LS–LW,stress,pupil_asymmetry_full_change_precond_Z,Pupillometry,0.0485258849704813,0.7662009150744185,0.7662009150744185,40
Low Stress - Low Cog,LS–LW,workload,pupil_asymmetry_full_change_precond_Z,Pupillometry,0.3252891151468973,0.0405455739658173,0.060818360948725954,40
High Stress - High Cog,HS–HW,stress,pupil_dilation_med_full_change_precond_Z,Pupillometry,-0.08553633364013165,0.5997303719541713,0.5997303719541713,40
High Stress - High Cog,HS–HW,workload,pupil_dilation_med_full_change_precond_Z,Pupillometry,-0.24752429039197432,0.12358132713857273,0.30830765495529006,40
High Stress - Low Cog,HS–LW,stress,pupil_dilation_med_full_change_precond_Z,Pupillometry,0.3057559304450782,0.058366747467366746,0.17510024240210023,39
High Stress - Low Cog,HS–LW,workload,pupil_dilation_med_full_change_precond_Z,Pupillometry,0.2531270852656993,0.119996132039644,0.179994198059466,39
Low Stress - High Cog,LS–HW,stress,pupil_dilation_med_full_change_precond_Z,Pupillometry,0.29689370780599317,0.07028076298930748,0.21084228896792245,38
Low Stress - High Cog,LS–HW,workload,pupil_dilation_med_full_change_precond_Z,Pupillometry,-0.034150825414485386,0.8387078108510415,0.8387078108510415,38
Low Stress - Low Cog,LS–LW,stress,pupil_dilation_med_full_change_precond_Z,Pupillometry,0.1823024978171194,0.2602130921287213,0.3903196381930819,40
Low Stress - Low Cog,LS–LW,workload,pupil_dilation_med_full_change_precond_Z,Pupillometry,0.14853471318841324,0.36034104954916135,0.36034104954916135,40
High Stress - High Cog,HS–HW,stress,pupil_dilation_sd_full_change_precond_Z,Pupillometry,0.16927489035641097,0.2963932526852712,0.47267035445050265,40
High Stress - High Cog,HS–HW,workload,pupil_dilation_sd_full_change_precond_Z,Pupillometry,-0.1670691201737299,0.302823994813764,0.30830765495529006,40
High Stress - Low Cog,HS–LW,stress,pupil_dilation_sd_full_change_precond_Z,Pupillometry,0.08909376744945036,0.58963672013212,0.5999462767504806,39
High Stress - Low Cog,HS–LW,workload,pupil_dilation_sd_full_change_precond_Z,Pupillometry,0.011799600650812899,0.9431642568797363,0.9431642568797363,39
Low Stress - High Cog,LS–HW,stress,pupil_dilation_sd_full_change_precond_Z,Pupillometry,0.09174461774286041,0.5734117024667549,0.5734117024667549,40
Low Stress - High Cog,LS–HW,workload,pupil_dilation_sd_full_change_precond_Z,Pupillometry,-0.10456848429732801,0.5207810204515321,0.7811715306772982,40
Low Stress - Low Cog,LS–LW,stress,pupil_dilation_sd_full_change_precond_Z,Pupillometry,0.2414021164776667,0.13344841610117417,0.3903196381930819,40
Low Stress - Low Cog,LS–LW,workload,pupil_dilation_sd_full_change_precond_Z,Pupillometry,0.3991751245955624,0.010722930093438271,0.032168790280314816,40
High Stress - High Cog,HS–HW,stress,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,0.020487116906636862,0.9001465440030985,0.9001465440030985,40
High Stress - High Cog,HS–HW,workload,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,-0.010705550053873468,0.9477260397630607,0.9477260397630607,40
High Stress - Low Cog,HS–LW,stress,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,0.1860936569359096,0.25026104892182416,0.25026104892182416,40
High Stress - Low Cog,HS–LW,workload,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,0.17226241417014185,0.28782427841077346,0.28782427841077346,40
Low Stress - High Cog,LS–HW,stress,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,0.17981276742080782,0.26688988171417577,0.5337797634283515,40
Low Stress - High Cog,LS–HW,workload,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,-0.10112906912062995,0.534658921432571,0.7131085417480956,40
Low Stress - Low Cog,LS–LW,stress,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,0.30301776923024853,0.0573494989915049,0.1146989979830098,40
Low Stress - Low Cog,LS–LW,workload,hr_heartrate_bpm_med_abs_full_change_precond_Z,HR/HRV,0.20374426921509853,0.20730622947664895,0.4038994439329776,40
High Stress - High Cog,HS–HW,stress,hrv_rmssd_full_change_precond_Z,HR/HRV,-0.1342655502603394,0.40880839807098424,0.8176167961419685,40
High Stress - High Cog,HS–HW,workload,hrv_rmssd_full_change_precond_Z,HR/HRV,0.052007473336702345,0.7499466289121973,0.9477260397630607,40
High Stress - Low Cog,HS–LW,stress,hrv_rmssd_full_change_precond_Z,HR/HRV,-0.21155611559092471,0.19004002838107295,0.25026104892182416,40
High Stress - Low Cog,HS–LW,workload,hrv_rmssd_full_change_precond_Z,HR/HRV,-0.4679494703739374,0.002327467579030338,0.004654935158060676,40
Low Stress - High Cog,LS–HW,stress,hrv_rmssd_full_change_precond_Z,HR/HRV,-0.07511531524775904,0.6450438252074258,0.6450438252074258,40
Low Stress - High Cog,LS–HW,workload,hrv_rmssd_full_change_precond_Z,HR/HRV,0.059985763636253124,0.7131085417480956,0.7131085417480956,40
Low Stress - Low Cog,LS–LW,stress,hrv_rmssd_full_change_precond_Z,HR/HRV,0.1140452705142829,0.48348713046480307,0.48348713046480307,40
Low Stress - Low Cog,LS–LW,workload,hrv_rmssd_full_change_precond_Z,HR/HRV,0.1356642470263877,0.4038994439329776,0.4038994439329776,40
High Stress - High Cog,HS–HW,stress,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.3313586730174127,0.036738725913941776,0.165324266612738,40
High Stress - High Cog,HS–HW,workload,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.4179171964556439,0.007288607323480017,0.032798732955660076,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.15624825963150427,0.3421761255967882,0.5267878352658666,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.031488342155124104,0.8490789472310283,0.9552138156349068,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.2690923494661858,0.09314175504789783,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.14274124297494364,0.37958596258131627,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.25622422531106276,0.1105137485629503,0.5068460075924649,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_alpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.23481450486717703,0.1447065911280808,0.60156324315979115,40
High Stress - High Cog,HS–HW,stress,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,0.04948617532498767,0.7617074593806233,0.9468691727845778,40
High Stress - High Cog,HS–HW,workload,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,0.06168555578093831,0.7053392070309721,0.7454014033927134,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,0.16737967159218003,0.3084477244179512,0.5267878352658666,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,0.08287485492293249,0.6159638625163155,0.9331686085056712,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,0.04015598613873911,0.8056709640857987,0.8056709640857987,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,0.026309545454496982,0.8719772171339447,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.12112589575316636,0.45655999163671035,0.6848399874550655,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_beta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.1374756459677098,0.3975926556214179,0.60156324315979115,40
High Stress - High Cog,HS–HW,stress,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.3732752612946011,0.017672917431432615,0.15905625688289354,40
High Stress - High Cog,HS–HW,workload,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.4860548071994062,0.001474118583613233,0.013267067252519096,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.13020688302625355,0.4294940273018445,0.552206606530943,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.09774719893756766,0.5538566933783557,0.9331686085056712,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.17999330257481883,0.2664019666971637,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.09060050743784961,0.5782221986888166,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.24687779999573659,0.12459667753460399,0.5068460075924649,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_halpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.3087958511022275,0.05253270177430364,0.4727943159687328,40
High Stress - High Cog,HS–HW,stress,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.010881281381211439,0.9468691727845778,0.9468691727845778,40
High Stress - High Cog,HS–HW,workload,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.08974221902836985,0.5818428489867344,0.7454014033927134,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.15338881435720222,0.3511918901772444,0.5267878352658666,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.11292724662147113,0.4936721549684685,0.9331686085056712,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.09335085718840996,0.5666890624749168,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.09787150909072878,0.5479660229226018,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.017276725582875636,0.9157326904090255,0.9456068712702246,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_hbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.12994403984326525,0.4241891010913268,0.60156324315979115,40
High Stress - High Cog,HS–HW,stress,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.21156995798598935,0.19001036503913876,0.4275233213380622,40
High Stress - High Cog,HS–HW,workload,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,0.38438606233066475,0.01432990400225266,0.04298971200675798,40
