domain,target,n_rows,n_participants,P,seed,obs_auc,obs_acc,obs_f1,exceed,perm_p_value,alpha,is_sig
all,stress_label,176,44,1000,42,0.559529958677686,0.5625,0.56,95,0.0959040959040959,0.05,False
all,workload_label,176,44,1000,42,0.6623192148760331,0.5965909090909091,0.5942857142857143,0,0.000999000999000999,0.05,True
eeg,stress_label,176,44,1000,42,0.3759039256198347,0.4375,0.4648648648648649,997,0.997002997002997,0.05,False
eeg,workload_label,176,44,1000,42,0.5951704545454546,0.5113636363636364,0.5168539325842697,23,0.023976023976023976,0.05,True
peripheral,stress_label,176,44,1000,42,0.4682334710743802,0.5,0.5111111111111111,697,0.6973026973026973,0.05,False
peripheral,workload_label,176,44,1000,42,0.5171745867768595,0.5397727272727273,0.5524861878453039,358,0.35864135864135865,0.05,False
