domain,target,n_rows,n_participants,P,seed,obs_auc,obs_acc,obs_f1,exceed,perm_p_value,alpha,is_sig
all,stress_label,176,44,1000,42,0.5568181818181818,0.5852272727272727,0.5921787709497207,102,0.1028971028971029,0.05,False
all,workload_label,176,44,1000,42,0.659220041322314,0.6079545454545454,0.6011560693641619,0,0.000999000999000999,0.05,True
eeg,stress_label,176,44,1000,42,0.3837809917355372,0.4034090909090909,0.4198895027624309,996,0.996003996003996,0.05,False
eeg,workload_label,176,44,1000,42,0.596720041322314,0.5170454545454546,0.5251396648044693,19,0.01998001998001998,0.05,True
peripheral,stress_label,176,44,1000,42,0.4386621900826446,0.4772727272727273,0.4888888888888889,873,0.8731268731268731,0.05,False
peripheral,workload_label,176,44,1000,42,0.4855371900826446,0.5,0.5056179775280899,612,0.6123876123876124,0.05,False
