domain,target,features_used,n_selected,total_folds,selection_pct,modality,feature_type
all,stress_label,eda_med_precond,44,440,100,EDA/GSR,Central Tendency
all,stress_label,hr_med_precond,44,440,100,Heart Rate,Central Tendency
all,stress_label,hr_sd_precond,44,440,100,Heart Rate,Variability
all,stress_label,eeg_fm_specent_precond,37,440,84.0909090909091,EEG,Other
all,stress_label,hrv_rmssd_precond,34,440,77.27272727272727,HRV,Other
all,stress_label,eeg_fm_lbeta_power_precond,11,440,25,EEG,Other
all,stress_label,pupil_full_pupil_asymmetry_precond,3,440,6.8181818181818175,Pupillometry,Other
all,stress_label,eda_pkrate_precond,1,440,2.272727272727273,EDA/GSR,Other
all,stress_label,eeg_faa_precond,1,440,2.272727272727273,EEG,Other
all,stress_label,eeg_tleft_lbeta_power_precond,1,440,2.272727272727273,EEG,Other
all,workload_label,eda_sd_precond,44,352,100,EDA/GSR,Variability
all,workload_label,eeg_tb_ratio_precond,44,352,100,EEG,Ratio
all,workload_label,hrv_rmssd_precond,44,352,100,HRV,Other
all,workload_label,eeg_ab_ratio_precond,41,352,93.18181818181817,EEG,Ratio
all,workload_label,hr_med_precond,38,352,86.36363636363636,Heart Rate,Central Tendency
all,workload_label,eeg_fl_hbeta_power_precond,7,352,15.909090909090908,EEG,Other
all,workload_label,eeg_tleft_lbeta_power_precond,1,352,2.272727272727273,EEG,Other
all,workload_label,eeg_tright_lbeta_power_precond,1,352,2.272727272727273,EEG,Other
eeg,stress_label,eeg_faa_precond,44,572,100,EEG,Other
eeg,stress_label,eeg_tleft_lbeta_power_precond,43,572,97.72727272727273,EEG,Other
eeg,stress_label,eeg_fm_specent_precond,34,572,77.27272727272727,EEG,Other
eeg,stress_label,eeg_fm_lbeta_power_precond,31,572,70.45454545454545,EEG,Other
eeg,stress_label,eeg_fl_theta_power_precond,25,572,56.81818181818182,EEG,Other
eeg,stress_label,eeg_tleft_lalpha_power_precond,23,572,52.27272727272727,EEG,Other
eeg,stress_label,eeg_fm_beta_power_precond,11,572,25,EEG,Other
eeg,stress_label,eeg_pleft_halpha_power_precond,3,572,6.8181818181818175,EEG,Other
eeg,stress_label,eeg_fr_theta_power_precond,2,572,4.545454545454546,EEG,Other
eeg,stress_label,eeg_f_hbeta_power_precond,1,572,2.272727272727273,EEG,Other
eeg,stress_label,eeg_fm_hbeta_power_precond,1,572,2.272727272727273,EEG,Other
eeg,stress_label,eeg_fr_hbeta_power_precond,1,572,2.272727272727273,EEG,Other
eeg,stress_label,eeg_pright_specent_precond,1,572,2.272727272727273,EEG,Other
eeg,workload_label,eeg_ab_ratio_precond,44,616,100,EEG,Ratio
eeg,workload_label,eeg_tb_ratio_precond,44,616,100,EEG,Ratio
eeg,workload_label,eeg_tleft_lbeta_power_precond,43,616,97.72727272727273,EEG,Other
eeg,workload_label,eeg_tleft_alpha_power_precond,16,616,36.36363636363637,EEG,Other
eeg,workload_label,eeg_fm_specent_precond,14,616,31.818181818181817,EEG,Other
eeg,workload_label,eeg_pleft_hbeta_power_precond,14,616,31.818181818181817,EEG,Other
eeg,workload_label,eeg_fl_beta_power_precond,11,616,25,EEG,Other
eeg,workload_label,eeg_fm_beta_power_precond,11,616,25,EEG,Other
eeg,workload_label,eeg_fl_specent_precond,9,616,20.454545454545457,EEG,Other
eeg,workload_label,eeg_f_hbeta_power_precond,5,616,11.363636363636363,EEG,Other
peripheral,stress_label,hr_med_precond,44,88,100,Heart Rate,Central Tendency
peripheral,stress_label,hr_sd_precond,44,88,100,Heart Rate,Variability
peripheral,stress_label,hrv_rmssd_precond,44,88,100,HRV,Other
peripheral,stress_label,pupil_full_pupil_asymmetry_precond,44,88,100,Pupillometry,Other
peripheral,stress_label,pupil_full_pupil_mean_precond,41,88,93.18181818181817,Pupillometry,Central Tendency
peripheral,stress_label,pupil_full_pupil_sd_precond,3,88,6.8181818181818175,Pupillometry,Variability
peripheral,workload_label,hr_med_precond,44,11.478260869565219,100,Heart Rate,Central Tendency
peripheral,workload_label,hrv_rmssd_precond,44,11.478260869565219,100,HRV,Other
peripheral,workload_label,pupil_full_pupil_sd_precond,43,11.478260869565219,97.72727272727273,Pupillometry,Variability
peripheral,workload_label,hr_sd_precond,36,11.478260869565219,81.81818181818183,Heart Rate,Variability
peripheral,workload_label,pupil_full_pupil_mean_precond,30,11.478260869565219,68.18181818181817,Pupillometry,Central Tendency
peripheral,workload_label,pupil_full_pupil_asymmetry_precond,23,11.478260869565219,52.27272727272727,Pupillometry,Other
