contrast,mean_diff,t,df,p,dz
stress_high_minus_low,0.8404255319148937,3.0840230196429768,46,0.003448755581453325,0.44985099153953384
mwl_high_minus_low,2.1382978723404253,7.47639451714116,46,1.7668289990805045e-9,1.0905442226777007
