feature,mean_val_Low,mean_val_High,sd_val_Low,sd_val_High,mean_diff,pooled_sd,cohens_d,signal_to_noise
eeg_fm_lbeta_power_precond,0.030179545454545518,-0.07202840909090907,0.2572275794365362,0.3912115713414711,0.10220795454545459,0.33106836240740556,0.30872159998085136,0.30872159998085136
eeg_tleft_lbeta_power_precond,0.01712954545454544,-0.07265227272727272,0.2451448974101394,0.3332767732395738,0.08978181818181816,0.2925486526265418,0.3068953398887492,0.3068953398887492
eeg_tleft_beta_power_precond,0.018792045454545433,-0.06608522727272734,0.24335582161314617,0.3267137868454441,0.08487727272727277,0.2880659251177582,0.29464530625264296,0.29464530625264296
eda_mean_precond,0.8915672843430053,1.2346064067853884,1.0554042860850117,1.2734138942337463,0.3430391224423831,1.169500139613965,0.29332114706340723,0.29332114706340723
eda_tonic_mean_precond,0.8919721111712838,1.2336914705497863,1.0554152331296758,1.2723401768208986,0.3417193593785025,1.168920621743582,0.29233752320049594,0.29233752320049594
hr_mean_precond,3.3800032532025486,5.194626241318339,5.838423690647736,7.229473878108767,1.8146229881157905,6.570863099539274,0.27616204456352555,0.27616204456352555
hr_sd_precond,-0.6717988709300586,-0.10933723071794206,1.9580625449966573,2.115539663965804,0.5624616402121165,2.0383224720258735,0.27594340342678464,0.27594340342678464
hr_med_precond,3.3068181818181817,5.1022727272727275,5.708146939577112,7.249319861442212,1.7954545454545459,6.5243995868318825,0.275190769902918,0.275190769902918
eeg_t_lbeta_power_precond,0.010088636363636288,-0.06875113636363642,0.23725176376502108,0.33768697979124535,0.0788397727272727,0.29182263083090926,0.270163326616553,0.270163326616553
eda_med_precond,0.9247262798784394,1.2578188068768743,1.123285190992154,1.3392431630841017,0.33309252699843495,1.2359898604296458,0.2694945465674352,0.2694945465674352
eeg_fm_beta_power_precond,0.020380681818181826,-0.06883181818181817,0.2749300838428357,0.3869999847175305,0.0892125,0.33567509527309103,0.2657703870685446,0.2657703870685446
eeg_t_beta_power_precond,0.011539772727272711,-0.06251590909090919,0.23287537416867551,0.3259935070527377,0.0740556818181819,0.28328669800640477,0.26141602249360674,0.26141602249360674
eeg_c_lbeta_power_precond,-0.0026534090909090587,-0.06254886363636364,0.19314431859191836,0.29143062856031726,0.05989545454545458,0.24722109443512102,0.24227485394120818,0.24227485394120818
eeg_tleft_hbeta_power_precond,0.018845454545454523,-0.052860227272727295,0.2561330131764968,0.3336048349038307,0.07170568181818182,0.2974023422151241,0.24110664793054642,0.24110664793054642
eeg_tleft_halpha_power_precond,-0.03503068181818183,-0.114375,0.2776178338858723,0.4042955716463805,0.07934431818181817,0.3467899731425041,0.22879645989422462,0.22879645989422462
eeg_fm_halpha_power_precond,-0.017859090909090894,-0.10628409090909086,0.3244132509434068,0.4437321211904493,0.08842499999999996,0.38867862866630926,0.22750157451006942,0.22750157451006942
eeg_tleft_alpha_power_precond,-0.013251136363636324,-0.08694204545454544,0.26494011034129844,0.39579052445244667,0.07369090909090911,0.33678138407133057,0.21880933025473082,0.21880933025473082
eeg_tleft_theta_power_precond,0.08408863636363635,0.0034852272727272497,0.28558549595798344,0.4437689241656294,0.0806034090909091,0.37315541906602906,0.21600492709619876,0.21600492709619876
eeg_fm_alpha_power_precond,0.010998863636363624,-0.07298977272727274,0.31419000565560046,0.45144892075972476,0.08398863636363636,0.38892254222980344,0.21595209133959078,0.21595209133959078
eeg_t_halpha_power_precond,-0.03448068181818179,-0.10657954545454541,0.27150849814517236,0.39540243842499845,0.07209886363636361,0.3391606941240993,0.21258024554573693,0.21258024554573693
eeg_t_hbeta_power_precond,0.010536363636363667,-0.050592045454545424,0.24322129235182413,0.32592728658842673,0.061128409090909094,0.28756320452744466,0.21257382074094627,0.21257382074094627
eeg_t_theta_power_precond,0.07940681818181816,7.715909090908417e-4,0.28776253332420115,0.4473652918544984,0.07863522727272731,0.3761269599092988,0.20906564977870723,0.20906564977870723
eda_pkrate_precond,0.0689208848335363,0.04634068556913816,0.08219534645543443,0.14302315911313587,0.022580199264398138,0.11664411477144973,0.19358198490032139,0.19358198490032139
eeg_t_alpha_power_precond,-0.015047727272727225,-0.07891477272727271,0.262031414707523,0.38613111362035424,0.06386704545454548,0.3299679523827434,0.19355529830504106,0.19355529830504106
eeg_c_beta_power_precond,0.012331818181818211,-0.039493181818181816,0.22478578489510653,0.30624113434803485,0.051825000000000024,0.2686189507999019,0.1929312874079581,0.1929312874079581
eeg_fm_theta_power_precond,0.117075,0.03262613636363635,0.36643686390684693,0.5072291251505503,0.08444886363636364,0.4424688467174145,0.19085832655309504,0.19085832655309504
eeg_fm_hbeta_power_precond,0.007229545454545486,-0.059563636363636346,0.30519109941643024,0.3925771004680638,0.06679318181818183,0.3516094331605181,0.18996413497156986,0.18996413497156986
eeg_f_lbeta_power_precond,0.012986363636363664,-0.04943977272727276,0.213667470284761,0.419231138765112,0.06242613636363643,0.3327225086826722,0.18762222192540082,0.18762222192540082
eeg_fm_lalpha_power_precond,0.05847159090909094,-0.019715909090909103,0.32694152486018,0.4944929977274328,0.07818750000000005,0.41917423911743584,0.1865274453998473,0.1865274453998473
eeg_tright_lbeta_power_precond,-0.005782954545454552,-0.05645227272727276,0.20970133946896563,0.32320868209050846,0.05066931818181821,0.2724321052608904,0.18598879208195937,0.18598879208195937
eeg_tleft_lalpha_power_precond,0.02548522727272724,-0.03930909090909095,0.27940325347984085,0.4127640495562333,0.06479431818181819,0.352448818029782,0.183840361684354,0.183840361684354
eeg_fr_lbeta_power_precond,0.019969318181818126,-0.043378409090909016,0.19695982515722987,0.4483802323328552,0.06334772727272714,0.3462932322994717,0.18293088447638076,0.18293088447638076
eeg_tright_beta_power_precond,-5.25000000000033e-4,-0.04825909090909088,0.20899239894333949,0.3092121120868861,0.04773409090909085,0.26390334696373685,0.1808771713518663,0.1808771713518663
eeg_f_beta_power_precond,0.018676136363636367,-0.03758750000000001,0.23395786976778546,0.42876309505487353,0.05626363636363638,0.34537955679752863,0.16290378297236546,0.16290378297236546
eeg_c_halpha_power_precond,-0.07852727272727272,-0.1229488636363636,0.22528834587674257,0.3298831792509537,0.04442159090909088,0.28246924676909135,0.1572616892535702,0.1572616892535702
eeg_fr_beta_power_precond,0.026923863636363676,-0.029123863636363614,0.22024927309197737,0.4565245254064062,0.05604772727272729,0.3584162277262909,0.15637608717741666,0.15637608717741666
hrv_rmssd_precond,3.0392549631727563,-10.596061857734732,95.90896790518212,80.37230525080223,13.635316820907487,88.48230776817869,0.15410218341763485,0.15410218341763485
eeg_t_lalpha_power_precond,0.015851136363636317,-0.03548295454545453,0.2841873155922365,0.402736794691107,0.05133409090909085,0.34853934938654224,0.14728348750131956,0.14728348750131956
eeg_pright_lbeta_power_precond,-7.670454545454735e-4,-0.03597386363636364,0.20317828857309572,0.27612985513204746,0.035206818181818166,0.2424140196469025,0.14523424937674814,0.14523424937674814
eeg_tright_hbeta_power_precond,0.0015136363636363585,-0.036401136363636406,0.22651642866598085,0.30740274959483355,0.03791477272727276,0.27000568782347373,0.1404221260407705,0.1404221260407705
eeg_tright_halpha_power_precond,-0.04886022727272727,-0.09261704545454542,0.25514425783856814,0.3677397271814567,0.043756818181818154,0.31648941471673736,0.13825681412119625,0.13825681412119625
eeg_tright_theta_power_precond,0.05924318181818181,0.00883977272727274,0.28598985023202605,0.4414716198789775,0.050403409090909075,0.3719458197065166,0.1355127720770725,0.1355127720770725
eeg_c_hbeta_power_precond,0.027259090909090896,-0.013723863636363652,0.2705041447560435,0.3374399611116261,0.040982954545454545,0.3058089433659636,0.1340148986303843,0.1340148986303843
eeg_pleft_lbeta_power_precond,0.01848750000000003,-0.024662499999999955,0.27869820979117277,0.36237279030343716,0.04314999999999999,0.3232543358511247,0.1334862218827988,0.1334862218827988
eeg_f_hbeta_power_precond,0.024134090909090897,-0.023204545454545446,0.2704445127131171,0.4504052407539699,0.04733863636363635,0.3714869549225632,0.12743014454842466,0.12743014454842466
eeg_pright_halpha_power_precond,-0.0722454545454546,-0.1040056818181818,0.21708724127393791,0.2883378531402923,0.031760227272727204,0.25521127314196146,0.12444680394294555,0.12444680394294555
eeg_f_halpha_power_precond,-0.0209329545454546,-0.06616477272727267,0.27774238982987765,0.4483913100247315,0.04523181818181807,0.3729581759487963,0.12127852691994068,0.12127852691994068
eeg_p_lbeta_power_precond,0.014471590909090871,-0.026701136363636344,0.25978277395435,0.4037626776755763,0.041172727272727215,0.33949329119083355,0.12127699822375428,0.12127699822375428
