feature,High Stress - High Cog,High Stress - Low Cog,Low Stress - High Cog,Low Stress - Low Cog
eeg_f_alpha_power_precond,0.020111363636363577,-0.07312500000000008,0.04808409090909087,-0.027124999999999965
eeg_f_beta_power_precond,-0.011627272727272698,-0.06354772727272733,-7.272727272734546e-5,0.03742500000000008
eeg_f_halpha_power_precond,-0.023784090909090786,-0.10854545454545456,0.009847727272727232,-0.051713636363636434
eeg_f_hbeta_power_precond,-0.008372727272727238,-0.03803636363636365,-0.011356818181818228,0.05962500000000002
eeg_f_lalpha_power_precond,0.07370909090909096,-0.031324999999999895,0.10135681818181812,0.0033795454545456224
eeg_f_lbeta_power_precond,-0.013754545454545453,-0.08512500000000008,0.009638636363636387,0.01633409090909094
eeg_f_theta_power_precond,0.13291590909090914,0.022545454545454535,0.16096363636363634,0.04170681818181818
eeg_fl_alpha_power_precond,0.019659090909090814,-0.011554545454545232,0.04863863636363637,-0.025965909090909043
eeg_fl_beta_power_precond,-0.015206818181818217,-0.013522727272727277,0.003961363636363629,0.02192954545454554
eeg_fl_halpha_power_precond,-0.023804545454545446,-0.04687954545454543,0.012254545454545518,-0.05479090909090901
eeg_fl_hbeta_power_precond,-0.019111363636363687,0.006320454545454612,-0.00811590909090902,0.04417045454545447
eeg_fl_lalpha_power_precond,0.07503636363636358,0.02834318181818187,0.10173863636363646,0.011422727272727307
eeg_fl_lbeta_power_precond,-0.012913636363636426,-0.03061136363636362,0.012168181818181861,6.772727272726729e-4
eeg_fl_theta_power_precond,0.13202500000000006,0.08384318181818184,0.15677499999999997,0.05743409090909095
eeg_fr_alpha_power_precond,0.022959090909090814,-0.06956136363636363,0.03349318181818171,-0.016631818181818206
eeg_fr_beta_power_precond,-0.002068181818181863,-0.05617954545454537,-0.004686363636363585,0.05853409090909094
eeg_fr_halpha_power_precond,-0.017647727272727284,-0.10447727272727267,-0.007377272727272732,-0.03839999999999999
eeg_fr_hbeta_power_precond,0.005972727272727301,-0.029697727272727317,-0.00995681818181815,0.07939545454545449
eeg_fr_lalpha_power_precond,0.07182272727272725,-0.025968181818181856,0.08774090909090909,0.011361363636363682
eeg_fr_lbeta_power_precond,-0.007670454545454433,-0.07908636363636361,0.0011772727272726683,0.03876136363636358
eeg_fr_theta_power_precond,0.1392568181818182,0.026902272727272695,0.15546590909090902,0.05352954545454549
eeg_tleft_alpha_power_precond,-0.1182386363636363,-0.055645454545454595,0.006636363636363612,-0.03313863636363626
eeg_tleft_beta_power_precond,-0.08335227272727287,-0.0488181818181818,0.02431363636363639,0.013270454545454472
eeg_tleft_halpha_power_precond,-0.15061590909090905,-0.07813409090909097,-0.01527727272727279,-0.054784090909090866
eeg_tleft_hbeta_power_precond,-0.07472727272727273,-0.03099318181818187,0.013193181818181743,0.024497727272727306
eeg_tleft_lalpha_power_precond,-0.058699999999999974,-0.019918181818181925,0.052211363636363674,-0.0012409090909091965
eeg_tleft_lbeta_power_precond,-0.08984772727272729,-0.05545681818181816,0.032325,0.0019340909090908827
eeg_tleft_theta_power_precond,-0.005754545454545517,0.012725000000000016,0.12448181818181824,0.043695454545454475
eeg_tright_lalpha_power_precond,-0.014565909090909067,-0.038238636363636405,0.026136363636363655,-0.03353863636363628
eeg_tright_theta_power_precond,0.03592045454545457,-0.01824090909090909,0.10323863636363641,0.015247727272727213
