feature,mean_val_Low,mean_val_High,sd_val_Low,sd_val_High,mean_diff,pooled_sd,cohens_d,signal_to_noise
eeg_tb_ratio_precond,0.04794188409090909,0.15020351136363636,0.3188430788258401,0.2836439495751224,0.10226162727272727,0.3017571863648946,0.3388871314205229,0.3388871314205229
eeg_ab_ratio_precond,-0.03706475568181818,0.03994117613636363,0.23465306307642012,0.22971505281084276,0.07700593181818181,0.23219718505941742,0.33164024705328193,0.33164024705328193
eeg_f_theta_power_precond,0.03212613636363636,0.14693977272727274,0.4556979097397997,0.32255622428537184,0.11481363636363638,0.39478038373661484,0.29082913207824546,0.29082913207824546
eeg_fm_theta_power_precond,0.013552272727272718,0.13614886363636364,0.4884154266198935,0.38602225622047287,0.12259659090909092,0.44020609449315723,0.27849816811429134,0.27849816811429134
hr_med_precond,5.1022727272727275,3.3068181818181817,7.131023000118088,5.855261813880819,1.7954545454545459,6.5243995868318825,0.275190769902918,0.275190769902918
eeg_fr_theta_power_precond,0.040215909090909094,0.14736136363636362,0.4675043420749525,0.32019456923601003,0.10714545454545453,0.4006774713077641,0.26741072862355947,0.26741072862355947
eeg_p_specent_precond,0.15775227272727269,0.00889659090909094,0.5680767745946457,0.5566390054622813,0.14885568181818173,0.5623869683038065,0.2646855105251453,0.2646855105251453
eeg_pleft_specent_precond,0.14586136363636368,-0.003273863636363697,0.5787172617650054,0.5487857732678778,0.14913522727272738,0.5639501281168435,0.2644475456911828,0.2644475456911828
eeg_f_lalpha_power_precond,-0.013972727272727137,0.08753295454545454,0.46975311459631247,0.29530399949866226,0.10150568181818168,0.39234706625183413,0.2587140074421473,0.2587140074421473
eeg_fm_specent_precond,0.0938125,-0.09789318181818184,0.7515935580542324,0.7317464143373077,0.19170568181818182,0.7417363721040406,0.25845528010764984,0.25845528010764984
eeg_c_specent_precond,0.13839204545454548,-0.010201136363636358,0.5950244925359015,0.565959130463513,0.14859318181818185,0.5806736966974752,0.2558979038714704,0.2558979038714704
eeg_pright_specent_precond,0.17537159090909088,0.028015909090909067,0.5776973269779253,0.5779981425986073,0.14735568181818182,0.5778477543630675,0.2550077952290471,0.2550077952290471
eeg_tleft_specent_precond,0.06891477272727273,-0.08004886363636364,0.6057331398196816,0.5739078000752382,0.14896363636363635,0.5900350835598717,0.2524657270630261,0.2524657270630261
eeg_fm_lalpha_power_precond,-0.032104545454545434,0.07086022727272727,0.48173359903464436,0.3421648720490103,0.1029647727272727,0.41781817822061496,0.24643440159969676,0.24643440159969676
hr_mean_precond,5.051536943845009,3.5230925506758783,7.114876435953363,6.017879407904309,1.5284443931691305,6.5892465148514185,0.23196042062232597,0.23196042062232597
eeg_fm_alpha_power_precond,-0.07527386363636361,0.013282954545454499,0.44199323068991153,0.32674888253037454,0.08855681818181811,0.38866621168462395,0.22784799789510882,0.22784799789510882
eeg_t_specent_precond,0.05876704545454547,-0.07126931818181821,0.5948974183225226,0.5612073002691536,0.13003636363636367,0.5782977486564315,0.22486057387994207,0.22486057387994207
eeg_f_alpha_power_precond,-0.050125000000000024,0.034097727272727224,0.4544688943366094,0.27624658191145796,0.08422272727272725,0.37606791270813317,0.22395616436995153,0.22395616436995153
eeg_fr_lalpha_power_precond,-0.007303409090909086,0.07978181818181816,0.4857001881272697,0.27890570051643665,0.08708522727272724,0.3960385476992293,0.21989078532543238,0.21989078532543238
eeg_pleft_lalpha_power_precond,-0.040340909090909094,0.04053863636363637,0.32439121217612404,0.4230155007708015,0.08087954545454545,0.3769428155764924,0.21456714947822822,0.21456714947822822
eeg_fl_theta_power_precond,0.07063863636363639,0.1444,0.3573452757156305,0.3338950423566435,0.07376136363636361,0.3458189883353897,0.21329471811659675,0.21329471811659675
eeg_fl_lalpha_power_precond,0.01988295454545459,0.08838750000000002,0.3462754418958062,0.31138458972068156,0.06850454545454543,0.3292924569251876,0.20803557449877774,0.20803557449877774
eda_tonic_sd_precond,0.02882944618450609,0.09515802706984228,0.30010498104103517,0.33690838973142007,0.06632858088533619,0.31903782120389623,0.20790193662633424,0.20790193662633424
eeg_pleft_theta_power_precond,0.008198863636363669,0.09256477272727273,0.3365182710943092,0.4670278595740714,0.08436590909090906,0.40703781666980376,0.207267987483699,0.207267987483699
eda_sd_precond,0.03931282608618057,0.10582086978946037,0.3022583429363909,0.34231265827812113,0.0665080437032798,0.3229071553032594,0.20596646005201877,0.20596646005201877
