feature,between_subject_var,within_subject_var,total_var,variance_ratio,icc
HRV RMSSD,2218.5678188378147,6826.584745078976,7330.29373113526,0.3249894202861973,0.24527699263892971
Heart Rate (Median BPM),22.180851063829788,27.01595744680851,42.19532938900899,0.8210277613703485,0.4508595523840415
EDA Tonic,0.6965180939549952,0.8583459607329508,1.3325460414495465,0.8114654531143025,0.44796076663743
EDA Peak Height,0,0,0,NA,NA
EEG FM Theta,0.09411814755261333,0.1407360254432624,0.19872469912930937,0.6687566119348523,0.4007514380179488
EEG Beta,0.038060537472247934,0.10614785113475178,0.11748655564114235,0.35856154472624346,0.26392734736098783
EEG Parietal Alpha,0.05276202933568455,0.1170972534397163,0.14020816113778586,0.4505829794107627,0.31062199529860246
Pupil Dilation,0.25684940940218187,0.5423870928724159,0.6658941203384788,0.4735536903025083,0.321368466869566
