condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
High Stress - Low Cog,HS–LW,workload,eda_pkrate_precond_Z,EDA,0.06431536528658863,0.7012600182908237,0.9145157377981125,38
Low Stress - High Cog,LS–HW,stress,eda_pkrate_precond_Z,EDA,0.2213550832309936,0.17565492783768588,0.33358455552185556,39
Low Stress - High Cog,LS–HW,workload,eda_pkrate_precond_Z,EDA,-0.13748537684082135,0.4039231698435377,0.7625458085544929,39
Low Stress - Low Cog,LS–LW,stress,eda_pkrate_precond_Z,EDA,0.28164415675930443,0.09126674321518374,0.14177590286657504,37
Low Stress - Low Cog,LS–LW,workload,eda_pkrate_precond_Z,EDA,0.14478546597092615,0.39255889570402247,0.6566606045667635,37
High Stress - High Cog,HS–HW,stress,eda_sd_precond_Z,EDA,-0.07736154346138197,0.6052550972719809,0.9928577079719154,47
High Stress - High Cog,HS–HW,workload,eda_sd_precond_Z,EDA,0.29913010309664617,0.04109785671974589,0.16439142687898356,47
High Stress - Low Cog,HS–LW,stress,eda_sd_precond_Z,EDA,0.15444826373325699,0.2999373341385602,0.6059853336439651,47
High Stress - Low Cog,HS–LW,workload,eda_sd_precond_Z,EDA,0.004206822960724941,0.977611091275719,0.977611091275719,47
Low Stress - High Cog,LS–HW,stress,eda_sd_precond_Z,EDA,0.17315788158435638,0.2444391844385182,0.33358455552185556,47
Low Stress - High Cog,LS–HW,workload,eda_sd_precond_Z,EDA,-0.18234605935654277,0.21991442842650663,0.7625458085544929,47
Low Stress - Low Cog,LS–LW,stress,eda_sd_precond_Z,EDA,0.323207855146717,0.026692443940336444,0.14177590286657504,47
Low Stress - Low Cog,LS–LW,workload,eda_sd_precond_Z,EDA,-0.04338119439316711,0.7721725030575862,0.7721725030575862,47
High Stress - High Cog,HS–HW,stress,eda_tonic_mean_precond_Z,EDA,-0.004142284755473695,0.9779544815006496,0.9928577079719154,47
High Stress - High Cog,HS–HW,workload,eda_tonic_mean_precond_Z,EDA,0.11365143736510488,0.4468698846101845,0.4468698846101845,47
High Stress - Low Cog,HS–LW,stress,eda_tonic_mean_precond_Z,EDA,0.14654435334508803,0.32564478672051245,0.6059853336439651,47
High Stress - Low Cog,HS–LW,workload,eda_tonic_mean_precond_Z,EDA,0.10271659395770064,0.49205249112781335,0.9145157377981125,47
Low Stress - High Cog,LS–HW,stress,eda_tonic_mean_precond_Z,EDA,0.44564573828065357,0.0016939380236915358,0.005021944330498595,47
Low Stress - High Cog,LS–HW,workload,eda_tonic_mean_precond_Z,EDA,0.03049895342159805,0.8387385864422763,0.8451946300963482,47
Low Stress - Low Cog,LS–LW,stress,eda_tonic_mean_precond_Z,EDA,0.2385664891930681,0.10633192714993128,0.14177590286657504,47
Low Stress - Low Cog,LS–LW,workload,eda_tonic_mean_precond_Z,EDA,0.11259151670648786,0.45114699803269187,0.6566606045667635,47
High Stress - High Cog,HS–HW,stress,eda_tonic_sd_precond_Z,EDA,-0.06685997647567402,0.6552170797221167,0.9928577079719154,47
High Stress - High Cog,HS–HW,workload,eda_tonic_sd_precond_Z,EDA,0.3669369268678017,0.011179576906879311,0.08943661525503449,47
High Stress - Low Cog,HS–LW,stress,eda_tonic_sd_precond_Z,EDA,0.11176714763714465,0.4544890002329739,0.6059853336439651,47
High Stress - Low Cog,HS–LW,workload,eda_tonic_sd_precond_Z,EDA,-0.05836966858005855,0.6967440211874016,0.9145157377981125,47
Low Stress - High Cog,LS–HW,stress,eda_tonic_sd_precond_Z,EDA,0.09659345176477714,0.5183489364684263,0.5183489364684263,47
Low Stress - High Cog,LS–HW,workload,eda_tonic_sd_precond_Z,EDA,-0.19241424668297766,0.19506105869109827,0.7625458085544929,47
