stress_level,workload_level,mean_val,se_val
Low,Low,0.6846285047435898,0.12826912461832712
Low,High,1.2052913327692307,0.20784602905277616
High,Low,1.2113335202307693,0.17477536899046467
High,High,1.3050346814102565,0.2186456044111438
