timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 16:08:00.09987,23,"stress_label",7,0.5,0.5,0.5,0.465116279069767,2,0.0078125,7,"top7","eeg_fm_specent_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tb_ratio_precond"
2025-12-19 16:08:06.661942,24,"stress_label",7,1,1,0,0.36046511627907,8,0.03125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_fl_specent_precond"
2025-12-19 16:08:13.215741,25,"stress_label",7,0.25,0,0.75,0.406976744186047,4,0.015625,7,"top7","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_ta_ratio_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:08:19.907839,26,"stress_label",7,0.75,0.666666666666667,0.5,0.441860465116279,2,0.015625,7,"top7","eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond"
2025-12-19 16:08:26.684193,27,"stress_label",7,0.25,0,0.5,0.459302325581395,2,0.03125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
2025-12-19 16:08:33.104764,28,"stress_label",7,0,0,1,0.505813953488372,2,0.015625,7,"top7","eeg_fm_specent_precond;eeg_faa_precond;eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_ta_ratio_precond;eeg_fl_theta_power_precond"
2025-12-19 16:08:39.681877,29,"stress_label",7,0.5,0.5,0.75,0.447674418604651,4,0.03125,7,"top7","eeg_fm_specent_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_ta_ratio_precond;eeg_tb_ratio_precond"
2025-12-19 16:08:46.157004,30,"stress_label",7,0.75,0.666666666666667,0.25,0.424418604651163,256,0.0625,7,"top7","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_pleft_hbeta_power_precond;eeg_tb_ratio_precond"
2025-12-19 16:08:52.690352,31,"stress_label",7,0,0,0,0.529069767441861,256,0.0078125,7,"top7","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_specent_precond;eeg_ta_ratio_precond"
2025-12-19 16:08:59.174133,32,"stress_label",7,0.5,0.5,0.5,0.563953488372093,256,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_fr_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tright_lbeta_power_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:09:05.758933,33,"stress_label",7,0.25,0.4,0.5,0.476744186046512,32,0.0625,7,"top7","eeg_fm_specent_precond;eeg_faa_precond;eeg_fm_beta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_pleft_halpha_power_precond;eeg_fl_theta_power_precond"
2025-12-19 16:09:12.367607,34,"stress_label",7,0.5,0.5,0.5,0.482558139534884,4,0.015625,7,"top7","eeg_fm_specent_precond;eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_ta_ratio_precond;eeg_tb_ratio_precond"
2025-12-19 16:09:18.703689,35,"stress_label",7,0.25,0.4,0.5,0.406976744186047,4,0.03,7,"top7","eeg_fm_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_pleft_halpha_power_precond;eeg_ta_ratio_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 16:09:25.293806,36,"stress_label",7,0.5,0.5,0.5,0.436046511627907,2,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_fl_specent_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 16:09:31.89785,37,"stress_label",7,0.5,0.5,0.5,0.482558139534884,4,0.0078125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fr_theta_power_precond;eeg_ta_ratio_precond"
2025-12-19 16:09:38.375681,38,"stress_label",7,0.75,0.666666666666667,0,0.366279069767442,8,0.0078125,7,"top7","eeg_fm_beta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_pleft_halpha_power_precond;eeg_ta_ratio_precond"
2025-12-19 16:09:45.14685,39,"stress_label",7,0.5,0.5,0.5,0.424418604651163,256,0.125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_pleft_halpha_power_precond;eeg_ta_ratio_precond;eeg_tb_ratio_precond"
2025-12-19 16:09:51.766552,40,"stress_label",7,0.5,0.5,0.75,0.465116279069767,2,0.0078125,7,"top7","eeg_fm_specent_precond;eeg_faa_precond;eeg_fm_beta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lbeta_power_precond;eeg_fr_specent_precond;eeg_ab_ratio_precond"
2025-12-19 16:09:58.294978,41,"stress_label",7,0.75,0.666666666666667,0.25,0.38953488372093,16,0.015625,7,"top7","eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_fm_beta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_pleft_halpha_power_precond"
2025-12-19 16:10:04.736836,42,"stress_label",7,0.75,0.8,0.25,0.406976744186047,2,0.03,7,"top7","eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_fr_hbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lbeta_power_precond;eeg_pleft_halpha_power_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 16:10:11.105623,43,"stress_label",7,0,0,0,0.523255813953488,32,0.125,7,"top7","eeg_fm_lbeta_power_precond;eeg_faa_precond;eeg_fl_theta_power_precond;eeg_tleft_lbeta_power_precond;eeg_pleft_halpha_power_precond;eeg_pleft_hbeta_power_precond;eeg_tleft_lalpha_power_precond"
2025-12-19 16:10:17.741227,44,"stress_label",7,0.5,0.5,0.75,0.436046511627907,2,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
2025-12-19 16:10:24.397525,45,"stress_label",7,0.75,0.8,0.25,0.441860465116279,256,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_faa_precond;eeg_tleft_lbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tb_ratio_precond"
2025-12-19 16:10:31.253175,47,"stress_label",7,0.75,0.666666666666667,1,0.418604651162791,16,0.0078125,7,"top7","eeg_fm_lbeta_power_precond;eeg_fm_specent_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
2025-12-19 16:10:37.677169,48,"stress_label",7,0.5,NA,1,0.552325581395349,128,0.06,7,"top7","eeg_fm_lbeta_power_precond;eeg_tleft_lbeta_power_precond;eeg_faa_precond;eeg_tleft_lalpha_power_precond;eeg_f_hbeta_power_precond;eeg_fl_theta_power_precond;eeg_tleft_alpha_power_precond"
