feature,model,term,estimate,std_error,df,t_value,p_value
hrv_rmssd,baseline,(Intercept),11.412882515545444,12.50826455886052,181.41349867752098,0.9124273364893665,0.3627547296827538
hrv_rmssd,baseline,stress_factorHigh,-16.08192481049191,17.068732564555884,137.99999981144134,-0.9421862314420971,0.3477437700573902
hrv_rmssd,baseline,workload_factorHigh,-17.67084003934419,17.068732564555884,137.99999981144134,-1.0352754648015643,0.3023510432721914
hrv_rmssd,baseline,stress_factorHigh:workload_factorHigh,6.751943600692022,24.13883308531424,137.99999980504361,0.2797129246815091,0.7801165726875918
hrv_rmssd,with_response_rate,(Intercept),6.620282899950803,27.616996408880336,111.4632266526036,0.23971770144497065,0.8109893846560672
hrv_rmssd,with_response_rate,stress_factorHigh,-16.498834824183472,17.215869434763057,140.60999932117403,-0.9583503689257937,0.3395310467787307
hrv_rmssd,with_response_rate,workload_factorHigh,-14.544769959396135,23.437824971778518,178.82731555565206,-0.6205682471351113,0.5356738135800627
hrv_rmssd,with_response_rate,response_rate,0.1961772247469278,1.007071622238805,93.8065799964928,0.1947996750328535,0.8459710534949771
hrv_rmssd,with_response_rate,stress_factorHigh:workload_factorHigh,7.098162591457819,24.223340870124698,138.75873911331414,0.29302987682480147,0.7699370801707305
hr_med,baseline,(Intercept),4.212765957446812,0.9407528146451554,128.86141003028817,4.4780795676235465,1.640671785249184e-5
hr_med,baseline,stress_factorHigh,1.8510638297872328,1.049549537852296,138.00000136112257,1.7636745699255736,0.07999979753792823
hr_med,baseline,workload_factorHigh,-1.2978723404255332,1.049549537852296,138.00000136112257,-1.2365994110972434,0.21833626131911926
hr_med,baseline,stress_factorHigh:workload_factorHigh,-0.5744680851063818,1.4842871908131312,138.0000013607501,-0.3870329735795087,0.69932799999983
hr_med,with_response_rate,(Intercept),5.539310068280116,2.190990231171718,149.7874077661688,2.528222166156237,0.012500234437239372
hr_med,with_response_rate,stress_factorHigh,1.966460392773722,1.0634644921749041,140.66797653984503,1.849107710923277,0.06654130853197675
hr_med,with_response_rate,workload_factorHigh,-2.1631375800073602,1.6627421107593832,182.8574386614578,-1.3009459290228982,0.19491392386305778
hr_med,with_response_rate,response_rate,-0.05429991299938159,0.08093573395617898,154.77935251193253,-0.6709015949466917,0.5032831484532472
hr_med,with_response_rate,stress_factorHigh:workload_factorHigh,-0.6702980730245484,1.4910219688771857,138.64793198876058,-0.44955613466199723,0.6537325261522897
eda_tonic_mean,baseline,(Intercept),0.7287240507613275,0.16723442180702472,129.77892026198992,4.3575003452472085,2.650170279328871e-5
eda_tonic_mean,baseline,stress_factorHigh,0.47819808890415477,0.1872454186330134,138.00000082361143,2.5538573514654916,0.011739503876676665
eda_tonic_mean,baseline,workload_factorHigh,0.3469632298523818,0.1872454186330134,138.00000082361143,1.8529864836501182,0.06602013601015891
eda_tonic_mean,baseline,stress_factorHigh:workload_factorHigh,-0.3379872289506652,0.2648050105230354,138.00000082361151,-1.2763626650533626,0.2039711775494389
eda_tonic_mean,with_response_rate,(Intercept),1.340255497814751,0.386538092528281,148.89156565529788,3.467330966136776,6.873528149488892e-4
eda_tonic_mean,with_response_rate,stress_factorHigh,0.5313954357332681,0.18859255180406173,140.7645838452162,2.817690468950022,0.005533414374037793
eda_tonic_mean,with_response_rate,workload_factorHigh,-0.05192053113624463,0.2940040810512528,182.79545014798376,-0.17659799466250772,0.8600196753081958
eda_tonic_mean,with_response_rate,response_rate,-0.02503203934208218,0.014281804974992141,153.33885251996088,-1.7527223894958666,0.08164828954607373
eda_tonic_mean,with_response_rate,stress_factorHigh:workload_factorHigh,-0.3821644641470831,0.26443749823713286,138.7404271574145,-1.4451976996257136,0.15065725682805475
eeg_fm_theta_power,baseline,(Intercept),0.04378723404255303,0.06487558920829901,144.66626327928427,0.6749416009458251,0.5007901468990943
eeg_fm_theta_power,baseline,stress_factorHigh,-0.08000425531914884,0.07670425061548512,138.00000042730832,-1.0430224489149433,0.29876162597965805
eeg_fm_theta_power,baseline,workload_factorHigh,0.09807446808510648,0.07670425061548514,138.00000042173733,1.278605387552109,0.2031821752844149
eeg_fm_theta_power,baseline,stress_factorHigh:workload_factorHigh,0.009031914893616946,0.10847619151208389,138.00000042947127,0.08326172561663746,0.9337640873109179
eeg_fm_theta_power,with_response_rate,(Intercept),-0.22053714876927297,0.14936937879792717,137.7512576075806,-1.4764548834846825,0.14210420268648
eeg_fm_theta_power,with_response_rate,stress_factorHigh,-0.1029979311727534,0.07739097260955682,140.87315788995787,-1.33087784918256,0.1853792532527927
eeg_fm_theta_power,with_response_rate,workload_factorHigh,0.2704853955116531,0.11659952443170489,181.5698027056167,2.319781292676565,0.02146507892731827
eeg_fm_theta_power,with_response_rate,response_rate,0.010819686185392873,0.005522395753487182,135.83583993721362,1.959237741800858,0.052132875311229496
eeg_fm_theta_power,with_response_rate,stress_factorHigh:workload_factorHigh,0.028126796250725734,0.10861971471022941,138.80980750798355,0.25894743257023906,0.7960594035550338
