domain,target,k,n_participants,n_rows,auc,acc,f1,auc_ci_lo,auc_ci_hi,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,perm_P,perm_p_value
all,stress_label,7,44,176,0.38765495867768596,0.4602272727272727,0.4571428571428572,0.2935143336776859,0.4797262396694215,0.3806818181818182,0.5454545454545454,0.37575590155700656,0.5371428571428571,1000,0.988011988011988
all,workload_label,7,44,176,0.6060175619834711,0.5625,0.5745856353591161,0.5149793388429752,0.6942310175619834,0.48295454545454547,0.6420454545454546,0.48863636363636365,0.6521797256451988,1000,0.02097902097902098
