target,k,mean_acc,mean_f1,mean_auc,sd_auc,n
stress_label,20,0.58125,0.5478632478632479,0.5875,0.33277196319278385,40
stress_label,10,0.4875,0.44957264957264964,0.5375,0.30775239797853476,40
stress_label,5,0.46875,0.4538461538461539,0.475,0.2930826434598881,40
workload_label,5,0.56875,0.5733333333333334,0.5625,0.3087921049874237,40
workload_label,20,0.5,0.49333333333333335,0.53125,0.326144434733589,40
workload_label,10,0.50625,0.49250000000000005,0.51875,0.3319884729231516,40
