timestamp,test_pid,target,k,final_acc,final_f1,final_auc,inner_best_acc,cost,gamma,feature_n,feature_set,features_used
2025-12-19 12:35:19.454205,32,"stress_label",5,0.75,0.8,1,0.529069767441861,16,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;hrv_rmssd_precond;eeg_fm_lbeta_power_precond"
2025-12-19 12:35:25.894109,33,"stress_label",5,0.5,0.5,0.5,0.593023255813954,2,0.015625,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:35:32.342802,34,"stress_label",5,0.75,0.666666666666667,1,0.587209302325581,2,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:35:38.641736,35,"stress_label",5,0.75,0.666666666666667,1,0.593023255813954,2,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:35:45.002721,36,"stress_label",5,1,1,1,0.575581395348837,16,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:35:51.379834,37,"stress_label",5,0.25,0.4,1,0.406976744186047,256,0.125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 12:35:57.887478,38,"stress_label",5,0.5,0.5,0.5,0.587209302325581,32,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;hrv_rmssd_precond;eeg_fm_specent_precond"
2025-12-19 12:36:04.346925,39,"stress_label",5,0.5,0.5,0.5,0.581395348837209,2,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:36:10.761525,40,"stress_label",5,0.75,0.8,0.5,0.587209302325581,8,0.0078125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:36:17.016359,41,"stress_label",5,0.5,0.5,0.5,0.563953488372093,8,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;hrv_rmssd_precond;eeg_fm_specent_precond"
2025-12-19 12:36:23.507285,42,"stress_label",5,0.25,0.4,0.75,0.383720930232558,256,0.1,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;hrv_rmssd_precond;pupil_full_pupil_asymmetry_precond"
2025-12-19 12:36:29.861739,43,"stress_label",5,0.5,0.5,0.5,0.604651162790698,2,0.0078125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:36:36.207793,44,"stress_label",5,0.25,0,0.5,0.581395348837209,16,0.0078125,5,"top5","hr_med_precond;hr_sd_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:36:42.41859,45,"stress_label",5,0.25,0.4,0,0.616279069767442,8,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_lbeta_power_precond;eeg_fm_specent_precond"
2025-12-19 12:36:48.784379,47,"stress_label",5,0.5,0.5,0.5,0.587209302325581,16,0.0078125,5,"top5","hr_sd_precond;hr_med_precond;eda_med_precond;eeg_fm_specent_precond;hrv_rmssd_precond"
2025-12-19 12:36:54.993656,48,"stress_label",5,0.75,0.8,1,0.593023255813954,4,0.0078125,5,"top5","hr_sd_precond;eda_med_precond;hr_med_precond;eda_pkrate_precond;eeg_fm_specent_precond"
