domain,target,k,n_participants,n_rows,auc,acc,f1,auc_ci_lo,auc_ci_hi,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,perm_P,perm_p_value
all,stress_label,5,44,176,0.559529958677686,0.5625,0.5599999999999999,0.4662642045454546,0.6556398502066113,0.48863636363636365,0.6420454545454546,0.47953216374269003,0.6373626373626374,1000,0.11688311688311688
all,workload_label,5,44,176,0.6623192148760331,0.5965909090909091,0.5942857142857143,0.5676620609504132,0.7512913223140496,0.5170454545454546,0.6704545454545454,0.508670520231214,0.6741605136436597,1000,0.003996003996003996
