domain,target,k,n_participants,n_rows,auc,acc,f1,auc_ci_lo,auc_ci_hi,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,perm_P,perm_p_value
all,stress_label,10,44,176,0.4712035123966942,0.5,0.4823529411764706,0.366848527892562,0.5786544421487602,0.4147727272727273,0.5909090909090909,0.3930584227910817,0.5730994152046782,1000,0.6733266733266733
all,workload_label,10,44,176,0.6153150826446281,0.5795454545454546,0.5978260869565217,0.5229790805785125,0.7046810433884299,0.5056818181818182,0.6477272727272727,0.5227272727272727,0.6666666666666667,1000,0.01898101898101898
