target,k,mean_acc,mean_f1,mean_auc,sd_auc,n
stress_label,20,0.58125,0.5478632478632479,0.5875,0.33277196319278385,40
workload_label,5,0.56875,0.5733333333333334,0.5625,0.3087921049874237,40
