timestamp,fold,target,k,cost,gamma,inner_acc,inner_auc,inner_f1,feature_n,feature_set,features_used
2026-01-07 11:10:30.72598,"Fold1","stress_label",20,8,0.015625,0.493333333333333,0.453333333333333,0.505651755974337,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.73567,"Fold1","stress_label",20,16,0.015625,0.466666666666667,0.483555555555556,0.463805802404245,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.759619,"Fold1","stress_label",20,32,0.015625,0.473333333333333,0.470222222222222,0.471254083754084,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.761375,"Fold1","stress_label",20,64,0.015625,0.44,0.481777777777778,0.423031473031473,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.778903,"Fold1","stress_label",20,128,0.015625,0.493333333333333,0.482666666666667,0.493765621351828,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.759292,"Fold1","stress_label",20,256,0.015625,0.493333333333333,0.485333333333333,0.493765621351828,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.751713,"Fold1","stress_label",20,2,0.03125,0.486666666666667,0.460444444444444,0.488961980548187,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.74747,"Fold1","stress_label",20,4,0.03125,0.48,0.443555555555556,0.497844858562176,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.753998,"Fold1","stress_label",20,8,0.03125,0.52,0.429333333333333,0.516832694763729,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
2026-01-07 11:10:30.766641,"Fold1","stress_label",20,16,0.03125,0.5,0.502222222222222,0.504267954590535,20,"top20","hr_med_precond;hrv_rmssd_precond;eda_med_precond;hr_sd_precond;eeg_fm_specent_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_asymmetry_precond;eeg_faa_precond;eda_sd_precond;eeg_c_halpha_power_precond;eda_pkrate_precond;eeg_ta_ratio_precond;eeg_tright_halpha_power_precond;eeg_ab_ratio_precond;eeg_fl_specent_precond;eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tb_ratio_precond;eda_peakarea_precond"
