domain,target,k,n_participants,n_rows,auc,acc,f1,auc_ci_lo,auc_ci_hi,acc_ci_lo,acc_ci_hi,f1_ci_lo,f1_ci_hi,perm_P,perm_p_value
eeg,stress_label,5,44,176,0.3759039256198347,0.4375,0.46486486486486484,0.29002776342975206,0.471849173553719,0.36363636363636365,0.5058238636363629,0.37988826815642457,0.5425763182238668,1000,1
eeg,workload_label,5,44,176,0.5951704545454546,0.5113636363636364,0.5168539325842696,0.5056624483471074,0.6797520661157025,0.4318181818181818,0.5852272727272727,0.43820224719101125,0.5921787709497207,1000,9.99000999000999e-4
