participant_id,age,gender,vr_experience
1,19,2,4
3,22,1,3
4,22,2,3
5,64,1,3
6,23,1,3
7,23,1,3
9,26,1,1
10,26,2,3
11,26,2,3
12,32,2,3
13,26,2,3
15,26,2,3
16,28,1,3
17,30,2,3
18,24,1,3
19,24,2,3
20,55,2,3
21,30,2,3
22,22,2,3
23,55,1,3
24,21,1,3
25,41,1,3
26,30,2,3
27,25,1,4
28,56,2,3
29,22,2,3
30,36,1,3
31,63,1,3
32,55,1,3
33,20,1,3
34,21,2,3
35,22,2,3
36,20,2,3
37,19,2,3
38,22,2,3
39,20,2,4
40,61,2,3
41,50,1,3
42,26,1,3
43,25,2,3
44,19,1,3
45,40,1,3
47,18,1,3
48,19,1,3
