stress_level,mean,sd,n,ci_low,ci_high,measure
Low,2.4318181818181817,2.3932825300200022,44,1.704193787452732,3.1594425761836313,Subjective stress
High,3.25,2.205964430757541,44,2.579325513060815,3.920674486939185,Subjective stress
