contrast,mean_diff,t,df,p,dz
stress_high_minus_low,0.8181818181818182,2.905353414143003,43,0.005774260563315895,0.4379985071859264
mwl_high_minus_low,2.0681818181818183,6.976042095508015,43,1.393771563219242e-8,1.0516779160238507
