"dv","stress_level","mwl_level","n","mean","sd","se","ci","ci_low","ci_high"
"stress_rating","Low","Low",44,1.65909090909091,2.81972439539079,0.425089446896499,0.85727457153024,0.801816337560669,2.51636548062115
"stress_rating","Low","High",44,3.20454545454545,2.8577072079305,0.430815571336346,0.868822402019887,2.33572305252557,4.07336785656534
"stress_rating","High","Low",44,2.40909090909091,2.572829243678,0.387868602315173,0.782211584614408,1.6268793244765,3.19130249370532
"stress_rating","High","High",44,4.09090909090909,2.60427360597906,0.392609018293563,0.791771544539123,3.29913754636997,4.88268063544821
"workload_rating","Low","Low",44,5.31818181818182,2.00896510755729,0.302862885394705,0.610781218411131,4.70740059977069,5.92896303659295
"workload_rating","Low","High",44,7.63636363636364,1.7664957966486,0.266309261419243,0.537063810086311,7.09929982627733,8.17342744644995
"workload_rating","High","Low",44,6.22727272727273,2.29117250742361,0.345407251686449,0.696580110032784,5.53069261723994,6.92385283730551
"workload_rating","High","High",44,8.04545454545454,1.59875744563672,0.24102175354382,0.486066690216032,7.55938785523851,8.53152123567058
