mwl_level,mean,sd,n,ci_low,ci_high,measure
Low,5.7727272727272725,1.9453419184565002,44,5.181289271782686,6.364165273671859,Mental demand (NASA-TLX)
High,7.840909090909091,1.5279288583551602,44,7.376376259432284,8.305441922385898,Mental demand (NASA-TLX)
