task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,K-Nearest Neighbors,eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.4780569399035383,0.035441416325418564,0.48718737599147943,0.4890553689231646,0.4855360735413884,0.48211416519408223,0.5434782608695652,28.440687656402588
stress_classification,Neural Network (MLP),eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.513103947107947,0.01872043150570965,0.5211368843413717,0.5270168087398353,0.5210429746897871,0.5177104276096391,0.5766423357664233,42.30506372451782
stress_classification,Linear Discriminant Analysis,physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.583128110170037,0.08083186976330657,0.5871135697481699,0.6427318677862245,0.6087373761624807,0.6328826216147452,0.6496350364963503,4.872127294540405
stress_classification,Neural Network (MLP),all,subtract,within_subject,last_90s,87,3853.6,963.4,0.5135714076720574,0.02583813768847927,0.5259821772387582,0.5161800042805234,0.5166406956584573,0.5223898410095076,0.6014492753623188,50.88232159614563
stress_classification,Linear Discriminant Analysis,all,subtract,within_subject,last_90s,87,3853.6,963.4,0.5733381865062138,0.019053190654608296,0.5803003739574755,0.5980202887343014,0.5855337738715157,0.6125057965795822,0.6592592592592592,15.73635220527649
stress_classification,Linear Discriminant Analysis,eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.529545671395686,0.037710509585186305,0.538074142557123,0.5540838060237132,0.542747223353054,0.5594260842927936,0.5925925925925926,14.0784752368927
stress_classification,Neural Network (MLP),physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.5409580158747105,0.03555964200747782,0.5497475415516018,0.5704125643999995,0.5559649695102477,0.5657072358421313,0.6518518518518519,48.83083486557007
stress_classification,Random Forest,physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.5280671662859027,0.06037056204091044,0.5338363054856181,0.5747672140297106,0.5491478624333406,0.5490158262066092,0.6231884057971014,8.75754189491272
stress_classification,SVM,all,subtract,within_subject,last_90s,87,3853.6,963.4,0.5120171165472823,0.041484338928413876,0.5244103926480248,0.5182003450432842,0.5174468890665013,0.5180160719137302,0.5797101449275363,77.3216118812561
stress_classification,SVM,eeg,subtract,within_subject,last_90s,77,3853.6,963.4,0.4970173358965376,0.042178445847346244,0.5091149901593701,0.5541187407693827,0.5270352909361735,0.49871109355374815,0.5882352941176471,78.60197806358337
stress_classification,Logistic Regression,physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.5721847942728042,0.05410308351905645,0.5786278645049375,0.6225668429721967,0.5950611029721634,0.6216264595377905,0.6496350364963503,3.031919002532959
