task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds,tuned_params,threshold
workload_classification,Neural Network (MLP),eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5726813753804579,0.07173944915308407,0.32629710908399434,0.27102181019040056,0.27093073711274523,0.5077679377455981,0.6204379562043796,297.9888756275177,"{'alpha': 0.0001, 'hidden_layer_sizes': [100]}",0.5750000000000001
workload_classification,Linear Discriminant Analysis,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5737551331020695,0.05869902426703318,0.34048133680328807,0.3533727483865067,0.3271486085641514,0.547155785666153,0.6376811594202898,17.055009126663208,{'solver': 'svd'},0.35000000000000003
workload_classification,K-Nearest Neighbors,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.6194904100693848,0.06848922106596614,0.4217653551013182,0.45171390991406135,0.434443263227173,0.5960851107818688,0.6666666666666666,22.09251880645752,"{'n_neighbors': 21, 'weights': 'distance'}",0.35000000000000003
workload_classification,Linear Discriminant Analysis,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.618518207475626,0.1069685036559578,0.4568779556610155,0.3275744381977184,0.3642986851062491,0.5812252252979766,0.6617647058823529,4.021268129348755,{'solver': 'lsqr'},0.37500000000000006
workload_classification,Linear Discriminant Analysis,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5711761281132202,0.06801767599575967,0.3489514933300667,0.31032947009530143,0.30918344232478817,0.5245369169408247,0.644927536231884,13.890819549560547,{'solver': 'lsqr'},0.37500000000000006
workload_classification,K-Nearest Neighbors,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5326324550363211,0.05008190759037157,0.36106785648972295,0.5232428979766881,0.42437980787549795,0.5425717556242727,0.5869565217391305,113.18047451972961,"{'n_neighbors': 21, 'weights': 'uniform'}",0.2
workload_classification,Random Forest,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5168391053065838,0.06597975670661904,0.378394309252839,0.6988155374925213,0.4873693937952622,0.5811922985385811,0.5942028985507246,1876.9596219062805,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.35000000000000003
workload_classification,Logistic Regression,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5542304299889331,0.10347004746161649,0.3957112450585387,0.4522435419962614,0.3970977070634387,0.562412408784892,0.644927536231884,1612.3833329677582,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l2', 'solver': 'saga'}",0.4750000000000001
workload_classification,Random Forest,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5373062548278018,0.04798559445734528,0.36318722557160743,0.63177409657714,0.4534074087675459,0.6039644219781178,0.6014492753623188,2066.322637319565,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.35000000000000003
workload_classification,SVM,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5193245970949574,0.06144146331295396,0.3717237812249669,0.6438847190307051,0.47008733213523257,0.5681971044182411,0.6086956521739131,963.3449828624725,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.1, 'probability': True}",0.2
stress_classification,XGBoost,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.5271617904668215,0.07434177265109039,0.5078753428383624,0.5969346960059879,0.5470526414304806,0.5291269626644841,0.6231884057971014,4393.247596979141,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}",0.5
workload_classification,XGBoost,physio,zscore,within_subject,last_90s,13,3853.6,963.4,0.534433785012048,0.09259243311690794,0.3747806798142686,0.5540908492645367,0.44286478442708016,0.5600458593476361,0.6304347826086957,3884.403465270996,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",0.32500000000000007
stress_classification,XGBoost,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.49975909690315373,0.015585165005592793,0.5101527260222327,0.5165518564109114,0.5030040630520551,0.5153272168241159,0.5912408759124088,4661.128242254257,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}",0.5750000000000001
workload_classification,XGBoost,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.520509804572805,0.06409242473040734,0.37019435709150583,0.6127093935692433,0.458125672553214,0.5609853820268013,0.6159420289855072,4173.6578977108,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.7}",0.2
workload_classification,XGBoost,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5713589294521205,0.06698974592167185,0.3809683511111563,0.530953744034318,0.44126805440300254,0.582908267481568,0.6304347826086957,4175.278479814529,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.9}",0.2
stress_classification,XGBoost,all,zscore,within_subject,last_90s,90,3853.6,963.4,0.5183812710304629,0.05175750445685503,0.5470768812274631,0.5087722063968991,0.509159578031294,0.5459516837412982,0.6058394160583942,4686.005295038223,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 400, 'subsample': 0.7}",0.55
