"feature","mean_baseline","mean_task","diff_mean","t","p","df"
"hrv_rmssd",11.2416322008586,24.6794831018557,13.4378509009971,-2.28425548742078,0.027476000935318,42
"hr_med",73.9941860465116,77.9941860465116,4,-4.02967358190897,0.000229748424422106,42
"eda_tonic_mean",4.9021296311269,4.48721328329062,-0.414916347836278,1.8359823740544,0.0734461760531471,42
"eda_pkht_med",0,0,0,NA,NA,31
"eeg_fm_theta_power",-5.59839302325581,-5.33265058139535,0.265742441860465,-5.04852829527922,9.09253121336103e-06,42
"eeg_f_beta_power",-5.22752674418605,-5.10506976744186,0.122456976744186,-2.68431272558243,0.0103567234034093,42
"eeg_p_alpha_power",-5.46180581395349,-5.42096395348837,0.0408418604651164,-0.669931318125077,0.506568372136038,42
"pupil_full_pupil_med",-0.535412641554174,0.339685836896117,0.844818197781151,-7.58823165871145,2.46611240853058e-09,41
