mwl_level,mean,sd,n,ci_low,ci_high,measure
Low,5.73404255319149,1.983220546807716,47,5.151747186367976,6.316337920015004,Mental demand (NASA-TLX)
High,7.872340425531915,1.498071532462228,47,7.432490145679236,8.312190705384593,Mental demand (NASA-TLX)
