subset,r,p,n,fisher_z
congruent,0.4618643573956446,2.7889964677537546e-6,94,NA
incongruent,0.31067497756481455,0.002306812522498837,94,NA
difference,NA,0.22886750204649564,NA,1.2032812506981758
