stress_level,mean,sd,n,ci_low,ci_high,measure
Low,2.4468085106382977,2.4007110417567854,47,1.7419333423433803,3.151683678933215,Subjective stress
High,3.2872340425531914,2.148671684844079,47,2.656360401735226,3.918107683371157,Subjective stress
