target,eta_mean,max_depth_md,subsample_md,colsample_md,min_child_md,lambda_md,alpha_md,nrounds_md
stress_label,0.17932522638494983,6,0.8402004192274762,0.8262468643563767,3,0.5993289059145044,0.7175355979338127,1
workload_label,0.23769560902023398,6,0.8865837521308075,0.8468362285776044,7,0.6405233842323264,0.33077956026641,3
