dataset,feature,estimate,std_error,df,t_value,p_value,p_fdr,model_type,singular
all_conditions,hrv_rmssd_precond,0.10201229083758959,0.12869855325598373,138,0.7926452027373245,0.4293451332860867,0.7806275150656121,fe_lm,NA
all_conditions,hr_med_precond,-0.1602335514206468,0.12206726389001255,138,-1.3126660360391431,0.19147437009461504,0.6382479003153835,fe_lm,NA
all_conditions,eda_tonic_mean_precond,0.04495353779434967,0.11909993206814089,138,0.3774438575551018,0.7064236289170185,0.9987764795826105,fe_lm,NA
all_conditions,eda_pkht_mean_precond,0.06953484523022173,0.1421413817845935,105,0.4891949434936372,0.6257240370245967,0.9987764795826105,fe_lm,NA
all_conditions,pupil_full_pupil_med_precond,-0.12108558113772842,0.1307322953502569,132,-0.9262101672223907,0.3560270804250205,0.7806275150656121,fe_lm,NA
