timestamp,test_pid,target,k,lambda,alpha,inner_acc,inner_auc,inner_f1,feature_n,feature_set,features_used
0.000811130830789687,0,0.488372093023256,0.494186046511628,0.477519379844961,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.000811130830789687,0.25,0.488372093023256,0.494186046511628,0.477519379844961,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.000811130830789687,0.5,0.482558139534884,0.494186046511628,0.472868217054264,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.000811130830789687,0.75,0.482558139534884,0.494186046511628,0.472868217054264,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.000811130830789687,1,0.482558139534884,0.494186046511628,0.472868217054264,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00231012970008316,0,0.482558139534884,0.494186046511628,0.472868217054264,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00231012970008316,0.25,0.488372093023256,0.488372093023256,0.47984496124031,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00231012970008316,0.5,0.482558139534884,0.488372093023256,0.468217054263566,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00231012970008316,0.75,0.488372093023256,0.488372093023256,0.466666666666667,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00231012970008316,1,0.488372093023256,0.494186046511628,0.464341085271318,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00657933224657568,0,0.494186046511628,0.482558139534884,0.489147286821705,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00657933224657568,0.25,0.482558139534884,0.476744186046512,0.462015503875969,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
0.00657933224657568,0.5,0.476744186046512,0.476744186046512,0.452713178294574,2025-12-18 15:12:27.146006,1,"stress_label",20,20,"top20","eeg_fl_theta_power_precond;eeg_fl_hbeta_power_precond;eeg_tleft_lalpha_power_precond;eeg_tleft_lbeta_power_precond;eeg_tright_halpha_power_precond;eeg_faa_precond;eeg_ab_ratio_precond;eeg_tb_ratio_precond;eeg_ta_ratio_precond;eeg_fl_specent_precond;hrv_rmssd_precond;hr_med_precond;hr_sd_precond;eda_med_precond;eda_sd_precond;eda_pkrate_precond;eda_peakarea_precond;pupil_full_pupil_mean_precond;pupil_full_pupil_sd_precond;pupil_full_pupil_asymmetry_precond"
